Date,SettlementPrice,ReservePrice,PercentChange,RollingAvg
2014-10-01,12.1,11.34,,
2015-01-01,12.21,12.1,0.8999999999999999,
2015-04-01,12.29,12.1,0.7000000000000001,
2015-07-01,12.52,12.1,1.9,12.28
2015-10-01,12.73,12.1,1.7000000000000002,12.4375
2016-01-01,12.73,12.73,0.0,12.567499999999999
2016-04-01,12.73,12.73,0.0,12.6775
2016-07-01,12.73,12.73,0.0,12.73
2016-10-01,12.73,12.73,0.0,12.73
2017-01-01,13.57,13.57,6.6000000000000005,12.940000000000001
2017-04-01,13.8,13.57,1.7000000000000002,13.2075
2017-07-01,14.75,13.57,6.9,13.7125
2017-10-01,15.06,13.57,2.1,14.295
2018-01-01,14.61,14.53,-3.0,14.555
2018-04-01,14.65,14.53,0.3,14.7675
2018-07-01,15.05,14.53,2.7,14.842500000000001
2018-10-01,15.31,14.53,1.7000000000000002,14.905000000000001
2019-01-01,15.73,15.62,2.7,15.185
2019-04-01,17.45,15.62,10.9,15.885000000000002
2019-07-01,17.16,15.62,-1.7000000000000002,16.4125
2019-10-01,17.0,15.62,-0.8999999999999999,16.835
2020-01-01,17.87,16.68,5.1,17.37
2020-04-01,16.68,16.68,-6.7,17.1775
2020-07-01,16.68,16.68,0.0,17.0575
2020-10-01,16.93,16.68,1.5,17.04
2021-01-01,17.8,17.71,5.1,17.0225
2021-04-01,18.8,17.71,5.6000000000000005,17.552500000000002
2021-07-01,23.3,17.71,23.9,19.2075
2021-10-01,28.26,17.71,21.3,22.040000000000003
2022-01-01,29.15,19.7,3.1,24.8775
2022-04-01,30.85,19.7,5.800000000000001,27.89
2022-07-01,27.0,19.7,-12.5,28.815
2022-10-01,26.8,19.7,-0.7000000000000001,28.45
2023-01-01,27.85,22.21,3.9,28.125
2023-04-01,30.33,22.21,8.9,27.994999999999997
2023-07-01,35.2,22.21,16.1,30.045
2023-10-01,38.73,22.21,10.0,33.0275
2024-01-01,41.76,24.04,7.8,36.505
2024-04-01,37.02,24.04,-11.4,38.177499999999995
2024-07-01,30.24,24.04,-18.3,36.9375
2024-10-01,31.91,24.04,5.5,35.2325
2025-01-01,29.27,25.87,-8.3,32.11
2025-04-01,25.87,25.87,-11.600000000000001,29.322499999999998
2025-07-01,28.76,25.87,11.200000000000001,28.9525
